date_obj,Demon%20feet price
2019-08-18,159498
2019-08-19,159750
2019-08-20,159750
2019-08-21,160808
2019-08-22,160922
2019-08-23,160922
2019-08-24,161780
2019-08-24,161780
2019-08-25,161780
2019-08-25,161780
2019-08-26,162010
2019-08-26,162010
2019-08-27,162010
2019-08-27,162010
2019-08-28,161460
2019-08-29,161836
2019-08-30,163736
2019-08-31,163736
2019-09-01,166974
2019-09-02,166974
2019-09-03,171960
2019-09-04,175487
2019-09-05,177346
2019-09-06,177346
2019-09-07,178934
2019-09-08,178470
2019-09-09,178470
2019-09-10,174373
2019-09-11,171318
2019-09-12,171318
2019-09-13,170802
2019-09-14,170222
2019-09-15,170394
2019-09-16,170667
2019-09-17,170667
2019-09-18,172847
2019-09-19,172847
2019-09-20,177956
2019-09-21,183252
2019-09-22,183484
2019-09-23,187129
2019-09-24,187129
2019-09-25,189010
2019-09-26,192601
2019-09-27,192601
2019-09-28,189700
2019-09-29,189700
2019-09-30,185467
2019-10-01,182634
2019-10-02,182634
2019-10-03,180210
2019-10-04,180210
2019-10-05,177828
2019-10-06,175212
2019-10-07,175212
2019-10-08,172773
2019-10-09,172773
2019-10-10,169209
2019-10-11,169209
2019-10-12,167448
2019-10-13,164037
2019-10-14,159267
2019-10-15,155806
2019-10-16,151692
2019-10-17,151692
2019-10-18,148426
2019-10-19,145123
2019-10-20,141454
2019-10-21,141454
2019-10-22,140676
2019-10-23,141945
2019-10-24,139193
2019-10-25,138128
2019-10-26,135010
2019-10-27,132259
2019-10-28,131931
2019-10-29,131931
2019-10-30,131881
2019-10-31,129878
2019-11-01,129344
2019-11-02,127215
2019-11-03,123986
2019-11-04,120281
2019-11-05,120281
2019-11-06,117581
2019-11-07,115333
2019-11-08,112687
2019-11-09,109531
2019-11-10,106835
2019-11-11,104511
2019-11-12,104511
2019-11-13,103453
2019-11-14,102169
2019-11-15,101124
2019-11-16,101878
2019-11-17,101878
2019-11-18,100921
2019-11-19,100921
2019-11-20,100086
2019-11-21,100086
2019-11-22,99206
2019-11-23,98730
2019-11-24,98879
2019-11-25,101673
2019-11-26,105093
2019-11-27,105093
2019-11-28,107570
2019-11-29,107570
2019-11-30,111620
2019-12-01,115583
2019-12-02,119070
2019-12-03,122082
2019-12-04,125733
2019-12-05,125733
2019-12-06,128910
2019-12-07,130296
2019-12-08,130296
2019-12-09,130576
2019-12-10,132726
2019-12-11,134809
2019-12-12,134809
2019-12-13,138225
2019-12-14,141211
2019-12-15,144266
2019-12-16,144266
2019-12-17,144351
2019-12-18,144351
2019-12-19,142148
2019-12-20,141143
2019-12-21,138217
2019-12-22,136326
2019-12-23,136326
2019-12-24,133426
2019-12-25,129855
2019-12-26,129855
2019-12-27,125594
2019-12-28,124305
2019-12-29,124305
2019-12-30,120673
2019-12-31,116033
2020-01-01,116033
2020-01-02,110896
2020-01-03,110896
2020-01-04,107118
2020-01-05,104532
2020-01-06,104532
2020-01-07,103515
2020-01-08,103515
2020-01-09,103446
2020-01-10,103408
2020-01-11,102306
2020-01-12,101581
2020-01-13,101581
2020-01-14,101903
2020-01-15,100378
2020-01-16,100732
2020-01-17,99929
2020-01-18,99929
2020-01-19,99071
2020-01-20,98471
2020-01-21,98471
2020-01-22,96381
2020-01-23,94940
2020-01-24,94164
2020-01-25,94164
2020-01-26,93751
2020-01-27,92560
2020-01-28,92560
2020-01-29,92589
2020-01-30,92492
2020-01-31,92712
2020-02-01,93053
2020-02-02,93437
2020-02-03,93437
2020-02-04,93503
2020-02-05,92769
2020-02-06,91716
2020-02-07,91716
2020-02-08,90183
2020-02-09,89084
2020-02-10,87709
2020-02-11,87709
2020-02-12,86298
2020-02-13,86298
2020-02-14,84051
2020-02-15,84051
2020-02-16,83165
2020-02-17,80993
2020-02-18,79521
2020-02-19,79521
2020-02-20,77713
2020-02-21,77713
2020-02-22,75969
2020-02-23,75969
2020-02-24,74101
2020-02-25,73212
2020-02-26,72273
2020-02-27,71297
2020-02-28,70196
2020-02-29,70196
2020-03-01,68900
2020-03-02,68329
2020-03-03,69250
2020-03-04,69250
2020-03-05,69583
2020-03-06,69436
2020-03-07,69436
2020-03-08,67692
2020-03-09,66561
2020-03-10,66727
2020-03-11,66727
2020-03-12,67415
2020-03-13,67415
2020-03-14,68574
2020-03-15,68910
2020-03-16,69351
2020-03-17,69351
2020-03-18,69646
2020-03-19,69699
2020-03-20,69522
2020-03-21,70423
2020-03-22,70250
2020-03-23,69746
2020-03-24,69534
2020-03-25,69804
2020-03-26,70314
2020-03-27,69829
2020-03-28,70147
2020-03-29,69054
2020-03-30,68359
2020-03-31,68348
2020-04-01,68199
2020-04-02,68598
2020-04-03,68598
2020-04-04,68330
2020-04-05,66979
2020-04-06,65680
2020-04-07,64887
2020-04-08,63254
2020-04-09,62055
2020-04-10,60354
2020-04-11,58829
2020-04-12,57085
2020-04-13,55646
2020-04-14,54065
2020-04-15,53056
2020-04-16,53056
2020-04-17,52518
2020-04-18,52019
2020-04-19,50764
2020-04-20,51404
2020-04-21,51036
2020-04-22,50889
2020-04-23,50502
2020-04-24,50298
2020-04-25,50629
2020-04-26,49988
2020-04-27,49510
2020-04-28,49008
2020-04-29,48461
2020-04-30,48811
2020-05-01,49511
2020-05-02,49617
2020-05-03,49620
2020-05-04,49640
2020-05-05,49290
2020-05-06,50188
2020-05-07,50949
2020-05-08,50447
2020-05-09,50223
2020-05-10,50835
2020-05-11,50835
2020-05-12,51191
2020-05-13,50315
