date_obj,Guthix%20d'hide%20shield price
2019-12-10,395914
2019-12-11,395914
2019-12-12,411319
2019-12-13,411319
2019-12-14,411319
2019-12-15,414563
2019-12-16,414563
2019-12-17,414563
2019-12-18,406635
2019-12-19,406635
2019-12-20,406635
2019-12-21,403760
2019-12-22,403760
2019-12-23,403760
2019-12-24,405516
2019-12-25,405516
2019-12-26,405516
2019-12-27,410250
2019-12-28,410250
2019-12-29,410250
2019-12-30,406145
2019-12-31,406145
2020-01-01,406145
2020-01-02,403249
2020-01-03,403249
2020-01-04,403249
2020-01-05,403304
2020-01-06,403304
2020-01-07,396799
2020-01-08,396799
2020-01-09,396799
2020-01-10,411384
2020-01-11,411384
2020-01-12,413870
2020-01-13,413870
2020-01-14,413870
2020-01-15,401591
2020-01-16,401591
2020-01-17,392571
2020-01-18,392571
2020-01-19,402760
2020-01-20,402760
2020-01-21,402760
2020-01-22,409235
2020-01-23,409235
2020-01-24,422777
2020-01-25,422777
2020-01-26,414789
2020-01-27,414789
2020-01-28,396755
2020-01-29,396755
2020-01-30,386897
2020-01-31,386897
2020-02-01,386897
2020-02-02,379302
2020-02-03,379302
2020-02-04,378172
2020-02-05,378172
2020-02-06,372333
2020-02-07,372333
2020-02-08,371608
2020-02-09,371608
2020-02-10,356360
2020-02-11,356360
2020-02-12,352194
2020-02-13,352194
2020-02-14,346290
2020-02-15,346290
2020-02-16,346290
2020-02-17,353416
2020-02-18,353416
2020-02-19,361533
2020-02-20,361533
2020-02-21,361533
2020-02-22,368755
2020-02-23,368755
2020-02-24,379961
2020-02-25,379961
2020-02-26,378422
2020-02-27,378422
2020-02-28,370249
2020-02-29,370249
2020-03-01,360518
2020-03-02,360518
2020-03-03,367647
2020-03-04,367647
2020-03-05,367647
2020-03-06,367782
2020-03-07,367782
2020-03-08,370411
2020-03-09,370411
2020-03-10,376221
2020-03-11,376221
2020-03-12,381318
2020-03-13,381318
2020-03-14,374409
2020-03-15,374409
2020-03-16,367237
2020-03-17,367237
2020-03-18,368978
2020-03-19,368978
2020-03-20,366555
2020-03-21,366555
2020-03-22,373331
2020-03-23,373331
2020-03-24,381800
2020-03-25,381800
2020-03-26,395654
2020-03-27,395654
2020-03-28,405396
2020-03-29,414218
2020-03-30,414218
2020-03-31,417903
2020-04-01,417903
2020-04-02,421706
2020-04-03,421706
2020-04-04,430292
2020-04-05,430292
2020-04-06,431402
2020-04-07,431402
2020-04-08,425582
2020-04-09,425582
2020-04-10,433028
2020-04-11,432536
2020-04-12,432536
2020-04-13,420920
2020-04-14,420920
2020-04-15,404165
2020-04-16,404165
2020-04-17,393572
2020-04-18,388270
2020-04-19,372908
2020-04-20,372908
2020-04-21,375995
2020-04-22,376452
2020-04-23,376452
2020-04-24,360806
2020-04-25,360806
2020-04-26,354984
2020-04-27,354984
2020-04-28,345554
2020-04-29,345554
2020-04-30,351838
2020-05-01,351838
2020-05-02,357024
2020-05-03,357024
2020-05-04,358159
2020-05-05,358159
2020-05-06,356007
2020-05-07,356007
2020-05-08,341370
2020-05-09,337012
2020-05-10,337012
2020-05-11,337798
2020-05-12,337798
2020-05-13,347458
