date_obj,Mask%20of%20ranul price
2020-04-19,21358
2020-04-20,21358
2020-04-21,21358
2020-04-22,21358
2020-04-23,22094
2020-04-24,22094
2020-04-25,22094
2020-04-26,22094
2020-04-27,22042
2020-04-28,22042
2020-04-29,22042
2020-04-30,22042
2020-05-01,21648
2020-05-02,21648
2020-05-03,21648
2020-05-04,21648
2020-05-05,21885
2020-05-06,21885
2020-05-07,21885
2020-05-08,21885
2020-05-09,21668
2020-05-10,21668
2020-05-11,21668
2020-05-12,21668
2020-05-13,22634
