date_obj,Candle price
2017-10-06,179
2017-10-07,186
2017-10-08,184
2017-10-09,174
2017-10-10,165
2017-10-11,165
2017-10-12,156
2017-10-13,150
2017-10-14,151
2017-10-15,151
2017-10-16,148
2017-10-17,148
2017-10-18,150
2017-10-19,149
2017-10-20,143
2017-10-21,139
2017-10-22,142
2017-10-23,141
2017-10-24,141
2017-10-25,141
2017-10-26,148
2017-10-27,154
2017-10-28,154
2017-10-29,158
2017-10-30,163
2017-10-31,164
2017-11-01,164
2017-11-02,168
2017-11-03,174
2017-11-04,180
2017-11-05,188
2017-11-06,195
2017-11-07,203
2017-11-08,204
2017-11-09,206
2017-11-10,211
2017-11-11,217
2017-11-12,215
2017-11-13,211
2017-11-14,214
2017-11-15,216
2017-11-16,220
2017-11-17,219
2017-11-18,226
2017-11-19,223
2017-11-20,218
2017-11-21,219
2017-11-22,213
2017-11-23,213
2017-11-24,216
2017-11-25,219
2017-11-26,210
2017-11-27,210
2017-11-28,199
2017-11-29,198
2017-11-30,198
2017-12-01,196
2017-12-02,196
2017-12-03,196
2017-12-04,196
2017-12-05,198
2017-12-06,204
2017-12-07,208
2017-12-08,208
2017-12-09,214
2017-12-10,221
2017-12-11,229
2017-12-12,238
2017-12-13,241
2017-12-14,245
2017-12-15,246
2017-12-16,241
2017-12-17,234
2017-12-18,230
2017-12-19,233
2017-12-20,240
2017-12-21,240
2017-12-22,242
2017-12-23,242
2017-12-24,244
2017-12-25,246
2017-12-26,244
2017-12-27,233
2017-12-28,239
2017-12-29,233
2017-12-30,225
2017-12-31,214
2018-01-01,222
2018-01-02,225
2018-01-03,226
2018-01-04,224
2018-01-05,222
2018-01-06,227
2018-01-07,235
2018-01-08,237
2018-01-09,242
2018-01-10,251
2018-01-11,248
2018-01-12,253
2018-01-13,261
2018-01-14,259
2018-01-15,259
2018-01-16,256
2018-01-17,248
2018-01-18,245
2018-01-19,245
2018-01-20,241
2018-01-21,233
2018-01-22,222
2018-01-23,223
2018-01-24,226
2018-01-25,229
2018-01-26,219
2018-01-27,222
2018-01-28,222
2018-01-29,212
2018-01-30,209
2018-01-31,207
2018-02-01,206
2018-02-02,204
2018-02-03,205
2018-02-04,204
2018-02-05,202
2018-02-06,202
2018-02-07,208
2018-02-08,212
2018-02-09,214
2018-02-10,221
2018-02-11,226
2018-02-12,221
2018-02-13,221
2018-02-14,222
2018-02-15,229
2018-02-16,229
2018-02-17,230
2018-02-18,231
2018-02-19,224
2018-02-20,219
2018-02-21,211
2018-02-22,202
2018-02-23,200
2018-02-24,198
2018-02-25,199
2018-02-26,197
2018-02-27,196
2018-02-28,188
2018-03-01,191
2018-03-02,192
2018-03-03,196
2018-03-04,203
2018-03-05,210
2018-03-06,216
2018-03-07,215
2018-03-08,210
2018-03-09,214
2018-03-10,215
2018-03-11,219
2018-03-12,221
2018-03-13,225
2018-03-14,228
2018-03-15,237
2018-03-16,248
2018-03-17,247
2018-03-18,244
2018-03-20,240
2018-03-21,232
2018-03-23,237
2018-03-24,236
2018-03-25,225
2018-03-26,216
2018-03-27,207
2018-03-28,200
2018-03-29,202
2018-03-30,199
2018-03-31,199
2018-04-01,197
2018-04-02,194
2018-04-03,197
2018-04-04,196
2018-04-05,195
2018-04-06,202
2018-04-07,197
2018-04-08,201
2018-04-09,209
2018-04-10,201
2018-04-11,199
2018-04-12,204
2018-04-13,207
2018-04-14,207
2018-04-15,212
2018-04-16,212
2018-04-17,203
2018-04-18,192
2018-04-19,187
2018-04-20,192
2018-04-21,196
2018-04-22,201
2018-04-23,200
2018-04-24,206
2018-04-25,201
2018-04-26,203
2018-04-27,203
2018-04-28,199
2018-04-29,206
2018-04-30,207
2018-05-01,212
2018-05-02,219
2018-05-03,226
2018-05-04,233
2018-05-05,226
2018-05-07,228
2018-05-08,236
2018-05-09,246
2018-05-10,256
2018-05-11,254
2018-05-12,259
2018-05-13,267
2018-05-14,258
2018-05-15,248
2018-05-16,249
2018-05-17,260
2018-05-18,256
2018-05-19,247
2018-05-20,235
2018-05-21,236
2018-05-22,242
2018-05-23,249
2018-05-24,245
2018-05-25,245
2018-05-26,252
