date_obj,Dragonstone%20platebody price
2020-03-22,1963939
2020-03-23,1981920
2020-03-24,1981920
2020-03-25,2014728
2020-03-26,2014728
2020-03-27,2031196
2020-03-28,2031196
2020-03-29,1991188
2020-03-30,1991188
2020-03-31,1978561
2020-04-01,1978561
2020-04-02,1948437
2020-04-03,1948437
2020-04-04,1948922
2020-04-05,1948922
2020-04-06,2015433
2020-04-07,2015433
2020-04-08,2101829
2020-04-09,2101829
2020-04-10,2101829
2020-04-11,2036125
2020-04-12,2036125
2020-04-13,2021609
2020-04-14,2021609
2020-04-15,2077167
2020-04-16,2077167
2020-04-17,2077167
2020-04-18,2019621
2020-04-19,2019621
2020-04-20,1961416
2020-04-21,1961416
2020-04-22,1939716
2020-04-23,1939716
2020-04-24,1939716
2020-04-25,1869443
2020-04-26,1869443
2020-04-27,1801928
2020-04-28,1801928
2020-04-29,1746445
2020-04-30,1746445
2020-05-01,1680928
2020-05-02,1680928
2020-05-03,1635519
2020-05-04,1635519
2020-05-05,1635519
2020-05-06,1608608
2020-05-07,1608608
2020-05-08,1608608
2020-05-09,1586594
2020-05-10,1586594
2020-05-11,1589402
2020-05-12,1589402
2020-05-13,1617883
