date_obj,Hydra%20bones price
2019-06-11,5795
2019-06-12,5821
2019-06-13,5769
2019-06-14,5725
2019-06-15,5649
2019-06-16,5549
2019-06-17,5422
2019-06-18,5369
2019-06-19,5390
2019-06-20,5430
2019-06-21,5414
2019-06-22,5396
2019-06-23,5405
2019-06-24,5480
2019-06-25,5618
2019-06-26,5619
2019-06-27,5586
2019-06-28,5549
2019-06-29,5668
2019-06-30,5831
2019-07-01,6032
2019-07-02,5931
2019-07-03,5759
2019-07-04,5693
2019-07-05,5703
2019-07-06,5737
2019-07-07,5832
2019-07-08,5748
2019-07-09,5768
2019-07-10,5904
2019-07-11,5937
2019-07-12,5959
2019-07-13,5953
2019-07-14,5952
2019-07-15,5905
2019-07-16,5950
2019-07-17,5968
2019-07-18,6067
2019-07-19,6256
2019-07-20,6214
2019-07-21,6109
2019-07-22,6041
2019-07-23,5941
2019-07-24,5877
2019-07-25,5813
2019-07-26,5696
2019-07-27,5795
2019-07-28,5782
2019-07-29,5712
2019-07-30,5666
2019-07-31,5686
2019-08-01,5674
2019-08-02,5654
2019-08-03,5693
2019-08-04,5786
2019-08-05,5877
2019-08-06,5844
2019-08-07,6010
2019-08-08,6064
2019-08-09,6073
2019-08-10,5986
2019-08-11,5879
2019-08-12,5802
2019-08-13,5648
2019-08-14,5627
2019-08-15,5532
2019-08-16,5589
2019-08-17,5585
2019-08-18,5636
2019-08-19,5787
2019-08-20,5884
2019-08-21,5939
2019-08-22,5844
2019-08-23,5797
2019-08-24,5809
2019-08-24,5809
2019-08-25,5842
2019-08-25,5842
2019-08-26,6047
2019-08-26,6047
2019-08-27,6143
2019-08-27,6143
2019-08-28,6157
2019-08-29,5917
2019-08-30,5972
2019-08-31,5989
2019-09-01,5938
2019-09-02,5927
2019-09-03,5815
2019-09-04,5744
2019-09-05,5859
2019-09-06,5848
2019-09-07,5896
2019-09-08,5905
2019-09-09,5872
2019-09-10,5841
2019-09-11,5924
2019-09-12,5937
2019-09-13,5969
2019-09-14,6131
2019-09-15,6113
2019-09-16,6018
2019-09-17,5988
2019-09-18,6035
2019-09-19,5997
2019-09-20,6075
2019-09-21,6230
2019-09-22,6527
2019-09-23,6854
2019-09-24,6799
2019-09-25,6536
2019-09-26,6518
2019-09-27,6386
2019-09-28,6247
2019-09-29,6208
2019-09-30,6095
2019-10-01,6055
2019-10-02,6039
2019-10-03,6010
2019-10-04,6006
2019-10-05,6011
2019-10-06,6174
2019-10-07,6266
2019-10-08,6363
2019-10-09,6516
2019-10-10,6446
2019-10-11,6577
2019-10-12,6532
2019-10-13,6378
2019-10-14,6185
2019-10-15,6153
2019-10-16,6210
2019-10-17,6038
2019-10-18,6003
2019-10-19,5955
2019-10-20,5959
2019-10-21,5944
2019-10-22,5948
2019-10-23,5921
2019-10-24,5960
2019-10-25,5959
2019-10-26,6027
2019-10-27,6210
2019-10-28,6356
2019-10-29,6598
2019-10-30,6586
2019-10-31,6498
2019-11-01,6544
2019-11-02,6468
2019-11-03,6304
2019-11-04,6224
2019-11-05,6196
2019-11-06,6231
2019-11-07,6226
2019-11-08,6331
2019-11-09,6422
2019-11-10,6377
2019-11-11,6335
2019-11-12,6369
2019-11-13,6582
2019-11-14,6709
2019-11-15,6665
2019-11-16,6633
2019-11-17,6679
2019-11-18,6862
2019-11-19,6946
2019-11-20,7239
2019-11-21,7368
2019-11-22,7353
2019-11-23,7447
2019-11-24,7301
2019-11-25,7098
2019-11-26,6979
2019-11-27,6881
2019-11-28,6900
2019-11-29,6882
2019-11-30,7034
2019-12-01,7196
2019-12-02,7084
2019-12-03,7071
2019-12-04,7082
2019-12-05,7022
2019-12-06,6975
2019-12-07,6932
2019-12-08,6899
2019-12-09,6894
2019-12-10,6819
2019-12-11,6779
2019-12-12,6799
2019-12-13,6793
2019-12-14,6808
2019-12-15,6801
2019-12-16,6942
2019-12-17,6906
2019-12-18,6886
2019-12-19,6948
2019-12-20,6936
2019-12-21,7033
2019-12-22,7024
2019-12-23,6967
2019-12-24,6925
2019-12-25,6975
2019-12-26,6963
2019-12-27,6790
2019-12-28,6600
2019-12-29,6699
2019-12-30,6902
2019-12-31,6955
2020-01-01,7163
2020-01-02,7298
2020-01-03,7253
2020-01-04,7169
2020-01-05,7011
2020-01-06,6910
2020-01-07,6836
2020-01-08,6835
2020-01-09,6892
2020-01-10,6936
2020-01-11,6846
2020-01-12,6837
2020-01-13,6835
2020-01-14,6747
2020-01-15,6822
2020-01-16,6852
2020-01-17,6894
2020-01-18,7011
2020-01-19,6889
2020-01-20,6743
2020-01-21,6719
2020-01-22,6691
2020-01-23,6662
2020-01-24,6610
2020-01-25,6442
2020-01-26,6395
2020-01-27,6282
2020-01-28,6249
2020-01-29,6280
2020-01-30,6215
2020-01-31,6161
2020-02-01,6142
2020-02-02,6167
2020-02-03,6215
2020-02-04,6479
2020-02-05,6732
2020-02-06,6553
2020-02-07,6355
2020-02-08,6266
2020-02-09,6225
2020-02-10,6225
2020-02-11,6185
2020-02-12,6128
2020-02-13,6201
2020-02-14,6322
2020-02-15,6376
2020-02-16,6231
2020-02-17,6184
2020-02-18,6128
2020-02-19,6180
2020-02-20,6249
2020-02-21,6263
2020-02-22,6251
2020-02-23,6278
2020-02-24,6354
2020-02-25,6458
2020-02-26,6461
2020-02-27,6546
2020-02-28,6570
2020-02-29,6526
2020-03-01,6366
2020-03-02,6323
2020-03-03,6234
2020-03-04,6251
2020-03-05,6185
2020-03-06,6209
2020-03-07,6294
2020-03-08,6273
2020-03-09,6414
2020-03-10,6360
2020-03-11,6322
2020-03-12,6304
2020-03-13,6276
2020-03-14,6282
2020-03-15,6221
2020-03-16,6193
2020-03-17,6226
2020-03-18,6267
2020-03-19,6298
2020-03-20,6221
2020-03-21,6203
2020-03-22,6240
2020-03-23,6273
2020-03-24,6267
2020-03-25,6372
2020-03-26,6356
2020-03-27,6312
2020-03-28,6399
2020-03-29,6330
2020-03-30,6300
2020-03-31,6302
2020-04-01,6291
2020-04-02,6293
2020-04-03,6240
2020-04-04,6296
2020-04-05,6309
2020-04-06,6300
2020-04-07,6498
2020-04-08,6395
2020-04-09,6385
2020-04-10,6388
2020-04-11,6459
2020-04-12,6504
2020-04-13,6540
2020-04-14,6487
2020-04-15,6436
2020-04-16,6487
2020-04-17,6509
2020-04-18,6600
2020-04-19,6559
2020-04-20,6532
2020-04-21,6385
2020-04-22,6341
2020-04-23,6240
2020-04-24,6246
2020-04-25,6194
2020-04-26,6343
2020-04-27,6331
2020-04-28,6281
2020-04-29,6273
2020-04-30,6316
2020-05-01,6545
2020-05-02,6653
2020-05-03,6618
2020-05-04,6599
2020-05-05,6534
2020-05-06,6509
2020-05-07,6478
2020-05-08,6508
2020-05-09,6536
2020-05-10,6564
2020-05-11,6499
2020-05-12,6449
2020-05-13,6384
