date_obj,Mystic%20robe%20bottom%20(dusk) price
2019-11-25,218375
2019-11-26,220394
2019-11-27,220394
2019-11-28,220394
2019-11-29,221664
2019-11-30,221664
2019-12-01,218780
2019-12-02,218780
2019-12-03,228653
2019-12-04,228653
2019-12-05,228653
2019-12-06,223465
2019-12-07,223465
2019-12-08,223465
2019-12-09,226821
2019-12-10,226821
2019-12-11,226821
2019-12-12,228223
2019-12-13,228223
2019-12-14,223586
2019-12-15,223586
2019-12-16,230505
2019-12-17,230505
2019-12-18,230505
2019-12-19,235804
2019-12-20,235804
2019-12-21,243183
2019-12-22,243183
2019-12-23,247377
2019-12-24,247377
2019-12-25,252000
2019-12-26,252000
2019-12-27,252000
2019-12-28,250746
2019-12-29,250746
2019-12-30,250746
2019-12-31,250554
2020-01-01,250554
2020-01-02,250554
2020-01-03,241446
2020-01-04,241446
2020-01-05,242758
2020-01-06,242758
2020-01-07,238191
2020-01-08,238191
2020-01-09,238191
2020-01-10,229244
2020-01-11,229244
2020-01-12,222527
2020-01-13,222527
2020-01-14,222527
2020-01-15,213809
2020-01-16,213809
2020-01-17,216520
2020-01-18,216520
2020-01-19,220906
2020-01-20,220906
2020-01-21,223520
2020-01-22,223520
2020-01-23,228608
2020-01-24,228608
2020-01-25,227313
2020-01-26,227313
2020-01-27,224838
2020-01-28,224838
2020-01-29,229340
2020-01-30,229340
2020-01-31,238364
2020-02-01,238364
2020-02-02,241633
2020-02-03,241633
2020-02-04,230446
2020-02-05,230446
2020-02-06,219446
2020-02-07,219446
2020-02-08,211152
2020-02-09,211152
2020-02-10,214521
2020-02-11,214521
2020-02-12,210034
2020-02-13,210034
2020-02-14,205163
2020-02-15,205163
2020-02-16,210637
2020-02-17,210637
2020-02-18,214226
2020-02-19,214226
2020-02-20,212465
2020-02-21,212465
2020-02-22,202607
2020-02-23,202607
2020-02-24,195111
2020-02-25,195111
2020-02-26,196393
2020-02-27,196393
2020-02-28,192008
2020-02-29,192008
2020-03-01,185187
2020-03-02,185187
2020-03-03,176394
2020-03-04,176394
2020-03-05,167714
2020-03-06,163155
2020-03-07,163155
2020-03-08,163324
2020-03-09,163324
2020-03-10,166667
2020-03-11,166667
2020-03-12,174463
2020-03-13,174463
2020-03-14,174601
2020-03-15,174601
2020-03-16,172021
2020-03-17,172021
2020-03-18,172963
2020-03-19,172963
2020-03-20,180525
2020-03-21,180525
2020-03-22,186638
2020-03-23,186638
2020-03-24,194499
2020-03-25,194499
2020-03-26,191285
2020-03-27,191285
2020-03-28,192125
2020-03-29,193625
2020-03-30,202598
2020-03-31,202598
2020-04-01,198396
2020-04-02,193878
2020-04-03,193878
2020-04-04,192205
2020-04-05,192205
2020-04-06,192229
2020-04-07,192229
2020-04-08,194891
2020-04-09,194891
2020-04-10,196307
2020-04-11,197261
2020-04-12,197261
2020-04-13,188544
2020-04-14,196319
2020-04-15,205614
2020-04-16,205614
2020-04-17,215164
2020-04-18,223531
2020-04-19,213034
2020-04-20,213034
2020-04-21,214489
2020-04-22,209716
2020-04-23,209716
2020-04-24,202776
2020-04-25,202776
2020-04-26,196950
2020-04-27,202397
2020-04-28,200219
2020-04-29,200219
2020-04-30,190483
2020-05-01,190483
2020-05-02,185155
2020-05-03,180455
2020-05-04,180455
2020-05-05,178538
2020-05-06,180629
2020-05-07,180629
2020-05-08,183061
2020-05-09,177059
2020-05-10,177059
2020-05-11,168921
2020-05-12,168921
2020-05-13,162240
