date_obj,Seercull price
2016-10-21,47354
2016-10-22,47354
2016-10-23,49722
2016-10-24,51957
2016-10-25,51957
2016-10-26,53468
2016-10-27,53468
2016-10-28,54682
2016-10-29,57412
2016-10-30,57412
2016-10-31,60257
2016-11-01,60257
2016-11-02,62085
2016-11-03,62085
2016-11-04,65169
2016-11-05,65169
2016-11-06,68024
2016-11-07,68024
2016-11-08,69892
2016-11-09,70359
2016-11-10,72743
2016-11-11,72743
2016-11-12,75609
2016-11-13,75609
2016-11-14,76453
2016-12-08,58304
2016-12-09,58304
2016-12-10,58450
2016-12-11,58450
2016-12-12,57606
2016-12-13,57606
2016-12-14,54873
2016-12-15,54873
2016-12-16,53548
2016-12-17,53935
2016-12-18,53935
2016-12-19,52529
2016-12-20,51263
2016-12-21,49498
2016-12-22,49498
2016-12-23,50051
2016-12-24,50051
2016-12-25,49328
2016-12-26,49328
2016-12-27,49094
2016-12-28,49094
2016-12-29,49499
2016-12-30,49499
2016-12-31,48789
2017-01-01,48789
2017-01-02,47404
2017-01-03,47404
2017-01-04,45644
2017-01-05,45644
2017-01-06,43628
2017-01-07,41446
2017-01-08,39373
2017-01-09,37404
2017-01-10,36049
2017-01-11,34416
2017-01-12,33013
2017-01-13,33013
2017-01-14,31471
2017-01-15,30069
2017-01-16,30127
2017-01-17,29787
2017-01-18,29456
2017-01-19,29456
2017-01-20,29846
2017-01-21,29130
2017-01-22,28771
2017-01-27,29004
2017-01-28,29063
2017-01-29,28603
2017-01-30,28603
2017-01-31,27807
2017-02-01,27078
2017-02-02,27078
2017-02-03,26694
2017-02-04,27077
2017-02-05,27077
2017-02-06,26898
2017-02-07,26898
2017-02-08,26377
2017-02-09,26377
2017-02-10,25557
2017-02-11,24866
2017-02-12,24866
2017-02-13,24304
2017-02-14,23232
2017-02-15,23232
2017-02-16,22258
2017-02-18,21402
2017-02-19,20389
2017-02-20,19817
2017-02-21,19629
2017-02-22,19629
2017-02-23,18948
2017-02-24,18948
2017-02-25,18220
2017-02-26,18220
2017-02-27,18090
2017-02-28,17816
2017-03-01,17917
2017-03-02,17614
2017-03-03,17614
2017-03-04,16913
2017-03-05,16203
2017-03-06,16521
2017-03-07,16938
2017-03-08,16938
2017-03-09,17367
2017-03-10,18070
2017-03-11,18665
2017-03-12,19323
2017-03-13,19853
2017-03-14,19523
2017-03-15,19840
2017-03-16,19753
2017-03-17,20508
2017-03-18,20562
2017-03-19,20780
2017-03-20,21280
2017-03-21,21184
2017-03-22,21184
2017-03-23,21193
2017-03-24,20772
2017-03-25,20772
2017-03-26,20821
2017-03-27,20757
2017-03-28,20757
2017-03-29,21250
2017-03-30,22070
2017-03-31,22710
2017-04-01,22710
2017-04-02,22563
2017-04-03,23364
2017-04-04,23919
2017-04-12,25307
2017-04-13,25669
2017-04-14,25058
2017-04-15,24040
2017-04-16,24009
2017-04-17,24512
2017-04-18,24512
2017-04-19,25008
2017-04-20,25008
2017-04-21,24590
2017-04-22,24590
2017-04-23,24685
2017-04-24,24685
2017-04-25,24032
2017-04-26,24032
2017-04-27,23464
2017-04-28,23131
2017-04-29,22453
2017-04-30,21903
2017-05-01,21903
2017-05-02,21572
2017-05-03,20762
2017-05-04,20583
2017-05-05,20153
2017-05-06,20153
2017-05-07,20093
2017-05-08,20093
2017-05-09,20023
2017-05-10,20023
2017-05-11,19536
2017-05-12,19359
2017-05-13,18897
2017-05-14,18897
2017-05-15,19000
2017-05-16,19246
2017-05-17,19246
2017-05-18,19276
2017-05-19,19276
2017-05-20,19080
2017-05-21,19080
2017-05-22,19143
2017-05-23,19143
2017-05-24,18565
2017-05-25,18565
2017-05-26,18227
2017-05-27,18321
2017-05-28,18321
2017-05-29,18290
2017-05-30,18290
2017-05-31,18057
2017-06-01,18397
2017-06-02,18306
2017-06-03,18306
2017-06-06,19022
2017-06-07,19022
2017-06-08,19000
2017-06-09,19000
2017-06-10,18696
2017-06-11,18441
2017-06-12,18441
2017-06-13,18261
2017-06-14,17813
2017-06-15,17813
2017-06-16,17442
2017-06-17,17442
2017-06-18,17593
2017-06-19,17593
2017-06-20,17564
2017-06-21,18192
2017-06-22,18192
2017-06-23,17834
2017-06-24,17441
2017-06-25,17441
2017-06-26,17822
2017-06-27,18106
2017-06-28,18106
2017-06-29,18173
2017-06-30,18179
2017-07-01,18179
2017-07-02,18282
2017-07-03,18119
2017-07-04,17815
2017-07-05,17815
2017-07-06,17626
2017-07-07,17626
2017-07-08,17637
2017-07-13,18093
2017-07-14,18031
2017-07-15,18031
2017-07-16,18156
2017-07-17,18392
2017-07-18,18392
2017-07-19,18595
2017-07-20,19215
2017-07-21,19917
2017-07-22,20690
2017-07-23,19953
