date_obj,Tormented%20ornament%20kit price
2019-09-06,15064474
2019-09-07,15000408
2019-09-08,15090618
2019-09-09,15201690
2019-09-10,15098437
2019-09-11,15034419
2019-09-12,15008600
2019-09-13,15173389
2019-09-14,15337683
2019-09-15,15522990
2019-09-16,15406885
2019-09-17,15228876
2019-09-18,15207040
2019-09-19,15106547
2019-09-20,14993628
2019-09-21,14877924
2019-09-22,14827450
2019-09-23,14508998
2019-09-24,14508998
2019-09-25,14232036
2019-09-26,13937120
2019-09-27,13516018
2019-09-28,13639891
2019-09-29,13747750
2019-09-30,13729722
2019-10-01,13671096
2019-10-02,13618442
2019-10-03,13533796
2019-10-04,13467854
2019-10-05,13315568
2019-10-06,13284016
2019-10-07,13153716
2019-10-08,13116724
2019-10-09,13116724
2019-10-10,12704082
2019-10-11,12547463
2019-10-12,12454272
2019-10-13,12248044
2019-10-14,12176496
2019-10-15,12194188
2019-10-16,11965611
2019-10-17,11832564
2019-10-18,11666718
2019-10-19,11557955
2019-10-20,11476688
2019-10-21,11458150
2019-10-22,11406847
2019-10-23,11511180
2019-10-24,12044722
2019-10-25,12456584
2019-10-26,12657039
2019-10-27,12655051
2019-10-28,13038670
2019-10-29,13442239
2019-10-30,13418933
2019-10-31,13215207
2019-11-01,13245623
2019-11-02,13134250
2019-11-03,13078376
2019-11-04,12919265
2019-11-05,12730651
2019-11-06,12695091
2019-11-07,12438952
2019-11-08,12187326
2019-11-09,12213629
2019-11-10,12300820
2019-11-11,12245906
2019-11-12,12091893
2019-11-13,11978315
2019-11-14,11959972
2019-11-15,12072762
2019-11-16,12015442
2019-11-17,12015442
2019-11-18,11950089
2019-11-19,12046720
2019-11-20,12498486
2019-11-21,13004110
2019-11-22,13636158
2019-11-23,14115133
2019-11-24,14182508
2019-11-25,14061877
2019-11-26,13966724
2019-11-27,13881584
2019-11-28,13841654
2019-11-29,13547605
2019-11-30,13687404
2019-12-01,13757287
2019-12-02,13763328
2019-12-03,13690382
2019-12-04,13444450
2019-12-05,13444450
2019-12-06,13078317
2019-12-07,12899532
2019-12-08,12854617
2019-12-09,12866176
2019-12-10,12739193
2019-12-11,12589857
2019-12-12,12498893
2019-12-13,12432184
2019-12-14,12323032
2019-12-15,12128342
2019-12-16,12009837
2019-12-17,12004454
2019-12-18,11925353
2019-12-19,12039487
2019-12-20,12165963
2019-12-21,12595423
2019-12-22,12556102
2019-12-23,12385886
2019-12-24,12476640
2019-12-25,12503316
2019-12-26,12766585
2019-12-27,13214857
2019-12-28,13483970
2019-12-29,13794092
2019-12-30,13963869
2019-12-31,13935620
2020-01-01,13864063
2020-01-02,13678508
2020-01-03,13610392
2020-01-04,13474347
2020-01-05,13275187
2020-01-06,13080730
2020-01-07,12876310
2020-01-08,12761553
2020-01-09,12726802
2020-01-10,12722106
2020-01-11,12635678
2020-01-12,12492325
2020-01-13,12316349
2020-01-14,12050784
2020-01-15,11830012
2020-01-16,11530928
2020-01-17,11536670
2020-01-18,11572921
2020-01-19,11573267
2020-01-20,11648135
2020-01-21,11670263
2020-01-22,11936021
2020-01-23,12450803
2020-01-24,12569570
2020-01-25,12382097
2020-01-26,12034026
2020-01-27,11852812
2020-01-28,11699650
2020-01-29,11402147
2020-01-30,11189822
2020-01-31,11127463
2020-02-01,11097573
2020-02-02,11003132
2020-02-03,10847153
2020-02-04,10735100
2020-02-05,10731100
2020-02-06,10545704
2020-02-07,10143988
2020-02-08,10096108
2020-02-09,10007803
2020-02-10,9906511
2020-02-11,9839891
2020-02-12,9746475
2020-02-13,9698092
2020-02-14,9661899
2020-02-15,9580584
2020-02-16,9550317
2020-02-17,9502448
2020-02-18,9454820
2020-02-19,9468689
2020-02-20,9492223
2020-02-21,9492223
2020-02-22,9397078
2020-02-23,9287678
2020-02-24,9101114
2020-02-25,8846850
2020-02-26,8777093
2020-02-27,8697786
2020-02-28,8620117
2020-02-29,8505392
2020-03-01,8533811
2020-03-02,8442546
2020-03-03,8380471
2020-03-04,8351890
2020-03-05,8264545
2020-03-06,8203108
2020-03-07,8141773
2020-03-08,8131173
2020-03-09,8090211
2020-03-10,8050926
2020-03-11,8040056
2020-03-12,8009843
2020-03-13,7975980
2020-03-14,7963769
2020-03-15,7992920
2020-03-16,7959972
2020-03-17,8020135
2020-03-18,8111413
2020-03-19,8123002
2020-03-20,8071192
2020-03-21,8149871
2020-03-22,8227943
2020-03-23,8153911
2020-03-24,8112826
2020-03-25,8138843
2020-03-26,8192807
2020-03-27,8208968
2020-03-28,8174995
2020-03-29,8137943
2020-03-30,8091107
2020-03-31,8048751
2020-04-01,7988694
2020-04-02,7848266
2020-04-03,7737388
2020-04-04,7635188
2020-04-05,7516278
2020-04-06,7430144
2020-04-07,7390130
2020-04-08,7209733
2020-04-09,7019767
2020-04-10,7028417
2020-04-11,7033391
2020-04-12,6987375
2020-04-13,6947518
2020-04-14,6835982
2020-04-15,6704564
2020-04-16,6594995
2020-04-17,6545172
2020-04-18,6373924
2020-04-19,6281086
2020-04-20,6169532
2020-04-21,6002920
2020-04-22,5972560
2020-04-23,5906992
2020-04-24,5911042
2020-04-25,5914520
2020-04-26,6141845
2020-04-27,6394416
2020-04-28,6553854
2020-04-29,6508372
2020-04-30,6402005
2020-05-01,6353795
2020-05-02,6387225
2020-05-03,6492919
2020-05-04,6315112
2020-05-05,6257695
2020-05-06,6131679
2020-05-07,6026378
2020-05-08,5909564
2020-05-09,5783472
2020-05-10,5724627
2020-05-11,5728251
2020-05-12,5663254
2020-05-13,5521234
