date_obj,Garden%20pie price
2016-07-05,690
2016-07-06,664
2016-07-07,640
2016-07-08,620
2016-07-09,591
2016-07-10,574
2016-07-11,546
2016-07-12,520
2016-07-13,520
2016-07-14,494
2016-07-15,494
2016-07-16,469
2016-07-17,469
2016-07-18,445
2016-07-23,400
2016-07-24,380
2016-07-25,380
2016-07-26,361
2016-07-27,361
2016-07-28,342
2016-07-29,324
2016-07-30,324
2016-07-31,312
2016-08-01,312
2016-08-02,311
2016-08-03,311
2016-08-04,300
2016-08-05,300
2016-08-06,294
2016-08-07,294
2016-08-08,288
2016-08-09,288
2016-08-10,282
2016-08-11,282
2016-08-12,282
2016-08-13,268
2016-08-14,268
2016-08-15,257
2016-08-16,257
2016-08-17,261
2016-08-18,261
2016-08-19,248
2016-08-20,248
2016-08-21,241
2016-08-22,241
2016-08-23,234
2016-08-24,234
2016-08-25,235
2016-08-26,235
2016-08-28,230
2016-08-31,240
2016-09-01,240
2016-09-02,243
2016-09-03,243
2016-09-04,248
2016-09-05,248
2016-09-06,247
2016-09-07,247
2016-09-08,247
2016-09-09,249
2016-09-10,249
2016-09-11,254
2016-09-12,254
2016-09-13,264
2016-09-14,264
2016-09-15,270
2016-09-16,270
2016-09-17,276
2016-09-18,276
2016-09-19,281
2016-09-20,281
2016-09-21,281
2016-09-22,295
2016-09-23,295
2016-09-24,295
2016-09-25,310
2016-09-26,310
2016-09-27,310
2016-09-28,325
2016-09-29,325
2016-09-30,342
2016-10-01,342
2016-10-02,342
2016-10-03,360
2016-10-04,360
2016-10-05,354
2016-10-06,354
2016-10-07,354
2016-10-08,346
2016-10-09,346
2016-10-10,346
2016-10-11,342
2016-10-12,342
2016-10-13,342
2016-10-14,333
2016-10-15,333
2016-10-16,324
2016-10-17,324
2016-10-18,314
2016-10-19,314
2016-10-20,314
2016-10-21,304
2016-10-22,304
2016-10-23,302
2016-10-24,302
2016-10-25,302
2016-10-26,294
2016-10-27,294
2016-10-28,294
2016-10-29,285
2016-10-30,285
2016-10-31,270
2016-11-01,270
2016-11-02,270
2016-11-03,256
2016-11-04,256
2016-11-05,251
2016-11-06,251
2016-11-07,246
2016-11-08,246
2016-11-09,235
2016-11-10,235
2016-11-11,235
2016-11-12,234
2016-11-13,234
2016-11-14,234
2016-11-15,223
2016-12-07,197
2016-12-08,197
2016-12-09,197
2016-12-10,197
2016-12-11,192
2016-12-12,192
2016-12-13,188
2016-12-14,188
2016-12-15,183
2016-12-16,183
2016-12-17,174
2016-12-18,174
2016-12-19,169
2016-12-20,169
2016-12-21,167
2016-12-22,167
2016-12-23,163
2016-12-24,163
2016-12-25,162
2016-12-26,162
2016-12-27,159
2016-12-28,159
2016-12-29,160
2016-12-30,160
2016-12-31,161
2017-01-01,161
2017-01-02,162
2017-01-03,162
2017-01-04,160
2017-01-05,160
2017-01-06,163
2017-01-07,163
2017-01-08,158
2017-01-09,158
2017-01-10,158
2017-01-11,158
2017-01-12,162
2017-01-13,162
2017-01-14,165
2017-01-15,165
2017-01-16,173
2017-01-17,173
